script_id,hook_summary,ctr,retention_3s,retention_25,retention_50,retention_75,retention_100,comments,inbox,cost,conversions
,Đa Khớp TG,2.191262,93.6,2.8,1.6,1.3,1.0,5,20,1589269,1
,Đa Khớp TG,2.325581,94.6,3.3,3.3,1.6,0.0,0,0,25167,0
,Đa Khớp TG,3.960396,90.1,7.7,5.5,5.5,4.4,0,0,17789,0
,Đa Khớp TG,2.209222,93.2,2.9,1.7,1.4,1.1,4,22,1616003,0
,Sụn 1115,1.872015,96.1,1.4,0.6,0.3,0.2,0,5,465797,0
,Sụn 1115,1.709363,96.4,1.3,0.6,0.4,0.2,5,67,3946875,2
,Đa Khớp TG,2.098849,95.2,2.6,1.4,1.1,0.6,1,0,233230,1
,Đa Khớp TG,3.74677,94.3,3.2,1.6,1.0,0.7,0,1,144730,0
,Áo đen,2.086677,92.0,4.9,2.8,1.7,1.6,0,0,111818,0
,Áo đen,4.665314,91.3,6.0,3.6,3.6,2.2,0,1,104671,0
,Đa Khớp,3.346457,93.1,5.7,3.2,2.1,1.1,0,0,101342,0
,Đa Khớp,3.164557,96.4,4.3,2.3,1.3,1.1,1,0,135479,0
,Richers,4.427832,94.1,8.6,3.4,2.0,1.5,3,3,441613,0
,Richers,5.16333,94.7,9.0,4.2,3.1,2.3,1,1,260180,0
,Richers,3.844675,94.7,8.5,3.2,1.7,1.1,0,6,556942,0
,198,2.07433,95.2,3.0,1.5,0.9,0.6,1,11,792752,0
,Đa Khớp,3.269231,95.0,4.1,2.3,1.5,1.3,0,0,185046,0
,198,2.059243,93.4,3.0,1.7,1.0,0.8,3,9,1027331,0
,Đa Khớp,2.998637,91.4,2.2,1.3,0.8,0.7,0,1,370012,0
,1 Cặp - Bản sao 3,3.088962,96.4,2.7,1.4,0.6,0.3,0,3,457931,0
,1 Cặp - Bản sao 3,3.150315,94.9,3.8,2.0,1.2,0.8,0,0,236557,0
,Đa Khớp,2.900763,88.1,3.8,2.4,1.2,0.5,0,0,134418,0
,198,2.478315,93.4,2.7,1.5,1.2,0.9,0,3,491637,0
,198,2.199571,93.8,3.1,2.0,1.5,1.1,2,5,343009,0
,Đa Khớp,3.536346,91.5,3.2,1.8,1.3,0.9,0,4,394365,1
